id,name,description,date_of_birth,date_of_death
1,Harper Lee,"Harper Lee, known as Nelle, was born in the Alabama town of Monroeville, the youngest of four children of Amasa Coleman Lee and Frances Cunningham Finch Lee. Her father, a former newspaper editor and proprietor, was a lawyer who served on the state legislature from 1926 to 1938. As a child, Lee was a tomboy and a precocious reader, and enjoyed the friendship of her schoolmate and neighbor, the young Truman Capote.

After graduating from high school in Monroeville, Lee enrolled at the all-female Huntingdon College in Montgomery (1944-45), and then pursued a law degree at the University of Alabama (1945-50), pledging the Chi Omega sorority. While there, she wrote for several student publications and spent a year as editor of the campus humor magazine, ""Ramma-Jamma"". Though she did not complete the law degree, she studied for a summer in Oxford, England, before moving to New York in 1950, where she worked as a reservation clerk with Eastern Air Lines and BOAC.

Lee continued as a reservation clerk until the late 50s, when she devoted herself to writing. She lived a frugal life, traveling between her cold-water-only apartment in New York to her family home in Alabama to care for her father.

Having written several long stories, Harper Lee located an agent in November 1956. The following month at the East 50th townhouse of her friends Michael Brown and Joy Williams Brown, she received a gift of a year's wages with a note: ""You have one year off from your job to write whatever you please. Merry Christmas.""

Within a year, she had a first draft. Working with J. B. Lippincott & Co. editor Tay Hohoff, she completed To Kill a Mockingbird in the summer of 1959. Published July 11, 1960, the novel was an immediate bestseller and won great critical acclaim, including the Pulitzer Prize for Fiction in 1961. It remains a bestseller with more than 30 million copies in print. In 1999, it was voted ""Best Novel of the Century"" in a poll by the Library Journal.",1926-04-28,2016-02-19
2,Jane Austen,"Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, earned her a place as one of the most widely read writers in English literature, her realism and biting social commentary cementing her historical importance among scholars and critics.
Austen lived her entire life as part of a close-knit family located on the lower fringes of the English landed gentry. She was educated primarily by her father and older brothers as well as through her own reading. The steadfast support of her family was critical to her development as a professional writer. Her artistic apprenticeship lasted from her teenage years until she was about 35 years old. During this period, she experimented with various literary forms, including the epistolary novel which she tried then abandoned, and wrote and extensively revised three major novels and began a fourth. From 1811 until 1816, with the release of Sense and Sensibility (1811), Pride and Prejudice (1813), Mansfield Park (1814) and Emma (1815), she achieved success as a published writer. She wrote two additional novels, Northanger Abbey and Persuasion, both published posthumously in 1818, and began a third, which was eventually titled Sanditon, but died before completing it.
Austen's works critique the novels of sensibility of the second half of the 18th century and are part of the transition to 19th-century realism. Her plots, though fundamentally comic, highlight the dependence of women on marriage to secure social standing and economic security. Her work brought her little personal fame and only a few positive reviews during her lifetime, but the publication in 1869 of her nephew's A Memoir of Jane Austen introduced her to a wider public, and by the 1940s she had become widely accepted in academia as a great English writer. The second half of the 20th century saw a proliferation of Austen scholarship and the emergence of a Janeite fan culture.",1775-12-16,1817-07-18
3,George Orwell,"Eric Arthur Blair, better known by his pen name George Orwell, was an English author and journalist. His work is marked by keen intelligence and wit, a profound awareness of social injustice, an intense opposition to totalitarianism, a passion for clarity in language, and a belief in democratic socialism.

In addition to his literary career Orwell served as a police officer with the Indian Imperial Police in Burma from 1922-1927 and fought with the Republicans in the Spanish Civil War from 1936-1937. Orwell was severely wounded when he was shot through his throat. Later the organization that he had joined when he joined the Republican cause, The Workers Party of Marxist Unification (POUM), was painted by the pro-Soviet Communists as a Trotskyist organization (Trotsky was Joseph Stalin's enemy) and disbanded. Orwell and his wife were accused of ""rabid Trotskyism"" and tried in absentia in Barcelona, along with other leaders of the POUM, in 1938. However by then they had escaped from Spain and returned to England.

Between 1941 and 1943, Orwell worked on propaganda for the BBC. In 1943, he became literary editor of the Tribune, a weekly left-wing magazine. He was a prolific polemical journalist, article writer, literary critic, reviewer, poet, and writer of fiction, and, considered perhaps the twentieth century's best chronicler of English culture.

Orwell is best known for the dystopian novel Nineteen Eighty-Four (published in 1949) and the satirical novella Animal Farm (1945) — they have together sold more copies than any two books by any other twentieth-century author. His 1938 book Homage to Catalonia, an account of his experiences as a volunteer on the Republican side during the Spanish Civil War, together with numerous essays on politics, literature, language, and culture, have been widely acclaimed.

Orwell's influence on contemporary culture, popular and political, continues decades after his death. Several of his neologisms, along with the term ""Orwellian"" — now a byword for any oppressive or manipulative social phenomenon opposed to a free society — have entered the vernacular.",1903-06-25,1950-01-21
4,Charlotte Brontë,"Charlotte Brontë was a British novelist, the eldest out of the three famous Brontë sisters whose novels have become standards of English literature. See also Emily Brontë and Anne Brontë.

Charlotte Brontë was born in Thornton, Yorkshire, England, the third of six children, to Patrick Brontë (formerly ""Patrick Brunty""), an Irish Anglican clergyman, and his wife, Maria Branwell. In April 1820 the family moved a few miles to Haworth, a remote town on the Yorkshire moors, where Patrick had been appointed Perpetual Curate. This is where the Brontë children would spend most of their lives. Maria Branwell Brontë died from what was thought to be cancer on 15 September 1821, leaving five daughters and a son to the care of her spinster sister Elizabeth Branwell, who moved to Yorkshire to help the family.

In August 1824 Charlotte, along with her sisters Emily, Maria, and Elizabeth, was sent to the Clergy Daughters' School at Cowan Bridge in Lancashire, a new school for the daughters of poor clergyman (which she would describe as Lowood School in Jane Eyre). The school was a horrific experience for the girls and conditions were appalling. They were regularly deprived of food, beaten by teachers and humiliated for the slightest error. The school was unheated and the pupils slept two to a bed for warmth. Seven pupils died in a typhus epidemic that swept the school and all four of the Brontë girls became very ill - Maria and Elizabeth dying of tuberculosis in 1825. Her experiences at the school deeply affected Brontë - her health never recovered and she immortalised the cruel and brutal treatment in her novel, Jane Eyre. Following the tragedy, their father withdrew his daughters from the school.

At home in Haworth Parsonage, Charlotte and the other surviving children — Branwell, Emily, and Anne — continued their ad-hoc education. In 1826 her father returned home with a box of toy soldiers for Branwell. They would prove the catalyst for the sisters' extraordinary creative development as they immediately set to creating lives and characters for the soldiers, inventing a world for them which the siblings called 'Angria'. The siblings became addicted to writing, creating stories, poetry and plays. Brontë later said that the reason for this burst of creativity was that:

'We were wholly dependent on ourselves and each other, on books and study, for the enjoyments and occupations of life. The highest stimulus, as well as the liveliest pleasure we had known from childhood upwards, lay in attempts at literary composition.'

After her father began to suffer from a lung disorder, Charlotte was again sent to school to complete her education at Roe Head school in Mirfield from 1831 to 1832, where she met her lifelong friends and correspondents, Ellen Nussey and Mary Taylor. During this period (1833), she wrote her novella The Green Dwarf under the name of Wellesley. The school was extremely small with only ten pupils meaning the top floor was completely unused and believed to be supposedly haunted by the ghost of a young lady dressed in silk. This story fascinated Brontë and inspired the figure of Mrs Rochester in Jane Eyre.

Brontë left the school after a few years, however she swiftly returned in 1835 to take up a position as a teacher, and used her wages to pay for Emily and Anne to be taught at the school. Teaching did not appeal to Brontë and in 1838 she left Roe Head to become a governess to the Sidgewick family -- partly from a sense of adventure and a desire to see the world, and partly from financial necessity.

Charlotte became pregnant soon after her wedding, but her health declined rapidly and, according to biographer Elizabeth Gaskell, she was attacked by ""sensations of perpetual nausea and ever-recurring faintness."" She died, with her unborn child, on 31 March 1855. ",1816-04-21,1855-03-31
5,F. Scott Fitzgerald,"Francis Scott Key Fitzgerald was an American writer of novels and short stories, whose works have been seen as evocative of the Jazz Age, a term he himself allegedly coined. He is regarded as one of the greatest twentieth century writers. Fitzgerald was of the self-styled ""Lost Generation,"" Americans born in the 1890s who came of age during World War I. He finished four novels, left a fifth unfinished, and wrote dozens of short stories that treat themes of youth, despair, and age. He was married to Zelda Fitzgerald.",1896-09-24,1940-12-21
6,Herman Melville,"Herman Melville was an American novelist, short story writer, essayist, and poet. His first two books gained much attention, though they were not bestsellers, and his popularity declined precipitously only a few years later. By the time of his death he had been almost completely forgotten, but his longest novel, Moby Dick — largely considered a failure during his lifetime, and most responsible for Melville's fall from favor with the reading public — was rediscovered in the 20th century as one of the chief literary masterpieces of both American and world literature.  was an English author and journalist. His work is marked by keen 
intelligence and wit, a profound awareness of social injustice, an 
intense opposition to totalitarianism, a passion for clarity in 
language, and a belief in democratic socialism.

In addition to 
his literary career Orwell served as a police officer with the Indian 
Imperial Police in Burma from 1922-1927 and fought with the Republicans 
in the Spanish Civil War from 1936-1937. Orwell was severely wounded 
when he was shot through his throat. Later the organization that he had 
joined when he joined the Republican cause, The Workers Party of Marxist
 Unification (POUM), was painted by the pro-Soviet Communists as a 
Trotskyist organization (Trotsky was Joseph Stalin's enemy) and 
disbanded. Orwell and his wife were accused of ""rabid Trotskyism"" and 
tried in absentia in Barcelona, along with other leaders of the POUM, in
 1938. However by then they had escaped from Spain and returned to 
England. 

Between 1941 and 1943, Orwell worked on propaganda for 
the BBC. In 1943, he became literary editor of the Tribune, a weekly 
left-wing magazine. He was a prolific polemical journalist, article 
writer, literary critic, reviewer, poet, and writer of fiction, and, 
considered perhaps the twentieth century's best chronicler of English 
culture. 

Orwell is best known for the dystopian novel Nineteen Eighty-Four (published in 1949) and the satirical novella Animal Farm (1945) — they have together sold more copies than any two books by any other twentieth-century author. His 1938 book Homage to Catalonia,
 an account of his experiences as a volunteer on the Republican side 
during the Spanish Civil War, together with numerous essays on politics,
 literature, language, and culture, have been widely acclaimed.
 
Orwell's
 influence on contemporary culture, popular and political, continues 
decades after his death. Several of his neologisms, along with the term 
""Orwellian"" — now a byword for any oppressive or manipulative social 
phenomenon opposed to a free society — have entered the vernacular.",1819-08-01,1891-09-28
7,Alexandre Dumas,"Alexandre Dumas, père (French for ""father"", akin to Senior in English), born Dumas Davy de la Pailleterie, was a French writer, best known for his numerous historical novels of high adventure which have made him one of the most widely read French authors in the world. Many of his novels, including The Count of Monte Cristo, The Three Musketeers, The Man in the Iron Mask, and The Vicomte de Bragelonne were serialized. Dumas also wrote plays and magazine articles, and was a prolific correspondent.

Dumas was of Haitian descent and mixed-race. His father, General Thomas-Alexandre Dumas Davy de la Pailleterie, was born in the French colony of Saint-Domingue (present-day Haiti) to Alexandre Antoine Davy de la Pailleterie, a French nobleman, and Marie-Cessette Dumas, a black slave. At age 14 Thomas-Alexandre was taken by his father to France, where he was educated in a military academy and entered the military for what became an illustrious career.

Dumas's father's aristocratic rank helped young Alexandre Dumas acquire work with Louis-Philippe, Duke of Orléans, then as a writer, finding early success. He became one of the leading authors of the French Romantic Movement, in Paris.",1802-07-24,1870-12-05
8,J.R.R. Tolkien,"John Ronald Reuel Tolkien: writer, artist, scholar, linguist. Known to millions around the world as the author of The Lord of the Rings, Tolkien spent most of his life teaching at the University of Oxford where he was a distinguished academic in the fields of Old and Middle English and Old Norse. His creativity, confined to his spare time, found its outlet in fantasy works, stories for children, poetry, illustration and invented languages and alphabets.

Tolkien’s most popular works, The Hobbit and The Lord of the Rings are set in Middle-earth, an imagined world with strangely familiar settings inhabited by ancient and extraordinary peoples. Through this secondary world Tolkien writes perceptively of universal human concerns – love and loss, courage and betrayal, humility and pride – giving his books a wide and enduring appeal.

Tolkien was an accomplished amateur artist who painted for pleasure and relaxation. He excelled at landscapes and often drew inspiration from his own stories. He illustrated many scenes from The Silmarillion, The Hobbit and The Lord of the Rings, sometimes drawing or painting as he was writing in order to visualize the imagined scene more clearly.

Tolkien was a professor at the Universities of Leeds and Oxford for almost forty years, teaching Old and Middle English, as well as Old Norse and Gothic. His illuminating lectures on works such as the Old English epic poem, Beowulf, illustrate his deep knowledge of ancient languages and at the same time provide new insights into peoples and legends from a remote past.

Tolkien was born in Bloemfontein, South Africa, in 1892 to English parents. He came to England aged three and was brought up in and around Birmingham. He graduated from the University of Oxford in 1915 and saw active service in France during the First World War before being invalided home. After the war he pursued an academic career teaching Old and Middle English. Alongside his professional work, he invented his own languages and began to create what he called a mythology for England; it was this ‘legendarium’ that he would work on throughout his life. But his literary work did not start and end with Middle-earth, he also wrote poetry, children’s stories and fairy tales for adults. He died in 1973 and is buried in Oxford where he spent most of his adult life.",1892-01-03,1973-02-09
9,Louisa May Alcott,"Louisa May Alcott was born in Germantown, Pennsylvania on November 29, 1832. She and her three sisters, Anna, Elizabeth and May were educated by their father, philosopher/ teacher, Bronson Alcott and raised on the practical Christianity of their mother, Abigail May.

Louisa spent her childhood in Boston and in Concord, Massachusetts, where her days were enlightened by visits to Ralph Waldo Emerson’s library, excursions into nature with Henry David Thoreau and theatricals in the barn at Hillside (now Hawthorne’s ""Wayside"").

Like her character, Jo March in Little Women, young Louisa was a tomboy: ""No boy could be my friend till I had beaten him in a race,"" she claimed, "" and no girl if she refused to climb trees, leap fences....""

For Louisa, writing was an early passion. She had a rich imagination and often her stories became melodramas that she and her sisters would act out for friends. Louisa preferred to play the ""lurid"" parts in these plays, ""the villains, ghosts, bandits, and disdainful queens.""

At age 15, troubled by the poverty that plagued her family, she vowed: ""I will do something by and by. Don’t care what, teach, sew, act, write, anything to help the family; and I’ll be rich and famous and happy before I die, see if I won’t!""

Confronting a society that offered little opportunity to women seeking employment, Louisa determined ""...I will make a battering-ram of my head and make my way through this rough and tumble world."" Whether as a teacher, seamstress, governess, or household servant, for many years Louisa did any work she could find.

Louisa’s career as an author began with poetry and short stories that appeared in popular magazines. In 1854, when she was 22, her first book Flower Fables was published. A milestone along her literary path was Hospital Sketches (1863) based on the letters she had written home from her post as a nurse in Washington, DC as a nurse during the Civil War.

When Louisa was 35 years old, her publisher Thomas Niles in Boston asked her to write ""a book for girls."" Little Women was written at Orchard House from May to July 1868. The novel is based on Louisa and her sisters’ coming of age and is set in Civil War New England. Jo March was the first American juvenile heroine to act from her own individuality; a living, breathing person rather than the idealized stereotype then prevalent in children’s fiction.

In all, Louisa published over 30 books and collections of stories. She died on March 6, 1888, only two days after her father, and is buried in Sleepy Hollow Cemetery in Concord. ",1832-11-29,1888-03-06
10,Miguel de Cervantes Saavedra,"Miguel de Cervantes y Cortinas, later Saavedra was a Spanish novelist, poet, and playwright. His novel Don Quixote is often considered his magnum opus, as well as the first modern novel.

It is assumed that Miguel de Cervantes was born in Alcalá de Henares. His father was Rodrigo de Cervantes, a surgeon of cordoban descent. Little is known of his mother Leonor de Cortinas, except that she was a native of Arganda del Rey.

In 1569, Cervantes moved to Italy, where he served as a valet to Giulio Acquaviva, a wealthy priest who was elevated to cardinal the next year. By then, Cervantes had enlisted as a soldier in a Spanish Navy infantry regiment and continued his military life until 1575, when he was captured by Algerian corsairs. He was then released on ransom from his captors by his parents and the Trinitarians, a Catholic religious order.

He subsequently returned to his family in Madrid.
In Esquivias (Province of Toledo), on 12 December 1584, he married the much younger Catalina de Salazar y Palacios (Toledo, Esquivias –, 31 October 1626), daughter of Fernando de Salazar y Vozmediano and Catalina de Palacios. Her uncle Alonso de Quesada y Salazar is said to have inspired the character of Don Quixote. During the next 20 years Cervantes led a nomadic existence, working as a purchasing agent for the Spanish Armada and as a tax collector. He suffered a bankruptcy and was imprisoned at least twice (1597 and 1602) for irregularities in his accounts. Between 1596 and 1600, he lived primarily in Seville. In 1606, Cervantes settled in Madrid, where he remained for the rest of his life.
Cervantes died in Madrid on April 23, 1616.
Tolkien’s most popular works, The Hobbit and The Lord of the Rings are set in Middle-earth, an imagined world with strangely familiar settings inhabited by ancient and extraordinary peoples. Through this secondary world Tolkien writes perceptively of universal human concerns – love and loss, courage and betrayal, humility and pride – giving his books a wide and enduring appeal.

Tolkien was an accomplished amateur artist who painted for pleasure and relaxation. He excelled at landscapes and often drew inspiration from his own stories. He illustrated many scenes from The Silmarillion, The Hobbit and The Lord of the Rings, sometimes drawing or painting as he was writing in order to visualize the imagined scene more clearly.

Tolkien was a professor at the Universities of Leeds and Oxford for almost forty years, teaching Old and Middle English, as well as Old Norse and Gothic. His illuminating lectures on works such as the Old English epic poem, Beowulf, illustrate his deep knowledge of ancient languages and at the same time provide new insights into peoples and legends from a remote past.

Tolkien was born in Bloemfontein, South Africa, in 1892 to English parents. He came to England aged three and was brought up in and around Birmingham. He graduated from the University of Oxford in 1915 and saw active service in France during the First World War before being invalided home. After the war he pursued an academic career teaching Old and Middle English. Alongside his professional work, he invented his own languages and began to create what he called a mythology for England; it was this ‘legendarium’ that he would work on throughout his life. But his literary work did not start and end with Middle-earth, he also wrote poetry, children’s stories and fairy tales for adults. He died in 1973 and is buried in Oxford where he spent most of his adult life.",1547-07-11,1616-04-23
11,Oscar Wilde,"Oscar Fingal O'Flahertie Wills Wilde was an Irish playwright, poet, and author of numerous short stories, and one novel. Known for his biting wit, and a plentitude of aphorisms, he became one of the most successful playwrights of the late Victorian era in London, and one of the greatest celebrities of his day. Several of his plays continue to be widely performed, especially The Importance of Being Earnest.

As the result of a widely covered series of trials, Wilde suffered a dramatic downfall and was imprisoned for two years hard labour after being convicted of ""gross indecency"" with other men. After Wilde was released from prison he set sail for Dieppe by the night ferry. He never returned to Ireland or Britain, and died in poverty.",1854-10-16,1900-11-30
