id,name,description
1,adolescence,
2,adult,
3,animals,
4,anthologies,
5,biography-memoir,
6,canon,
7,christian,
8,comics-manga,
9,dark,
10,death,
11,disability,
12,feminism,
13,fiction,
14,futuristic,
15,gender,
16,graphic-novels-comics,
17,graphic-novels-manga,
18,holiday,
19,inspirational,
20,lgbt,
21,love,
22,medical,
23,new-york,
24,non-fiction,
25,novella,
26,occult,
27,paranormal-urban-fantasy,
28,poetry,
29,productivity,
30,race,
31,relationships,
32,roman,
33,romantic,
34,science-fiction-fantasy,
35,sequential-art,
36,sexuality,
37,social,
38,space,
39,spirituality,
40,surreal,
41,teaching,
42,textbooks,
43,unfinished,
44,united-states,
45,urban,
46,war,
47,witchcraft,
48,plays,
49,horror,